Utente;Utilita;Chiarezza;Informativita;Bellezza;Totalita;
1;5;5;5;5;5;
1;5;5;5;5;5;
1;5;5;5;5;5;
2;6;5;5;6;6;
2;6;5;6;6;6;
2;6;6;6;6;6;
3;5;6;5;5;6;
3;5;2;5;6;5;
3;5;5;5;5;5;
4;5;6;6;5;5;
4;6;5;6;5;5;
4;6;6;6;5;5;
5;3;5;4;3;4;
5;3;2;4;2;3;
5;3;3;4;3;4;
6;4;6;5;6;5;
6;6;4;5;5;4;
6;6;4;6;4;4;
7;3;6;4;4;5;
7;5;3;4;4;4;
7;5;5;4;5;5;
8;4;4;4;4;4;
8;4;4;4;4;4;
8;4;4;4;4;4;
9;4;6;5;5;5;
9;6;5;5;5;5;
9;5;5;5;5;5;
10;4;5;5;5;5;
10;4;4;5;5;5;
10;3;5;5;5;4;
11;5;6;6;4;5;
11;5;3;6;3;4;
11;5;4;6;5;5;
12;4;5;5;6;5;
12;5;5;6;5;5;
12;5;4;6;5;5;
13;5;4;5;5;5;
13;5;3;6;5;5;
13;5;4;5;4;5;
14;5;5;6;5;5;
14;5;5;5;5;5;
14;5;5;5;5;5;
15;6;6;5;4;5;
15;5;4;6;5;6;
15;5;3;5;4;4;
16;5;6;5;5;5;
16;5;3;4;4;4;
16;6;5;5;5;5;
17;4;6;5;5;4;
17;6;3;5;6;6;
17;6;4;6;5;5;
18;5;6;6;5;5;
18;5;4;6;5;4;
18;6;4;5;5;5;
